,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hbd,n_hba,logp,passed,MACCS_clusters,ECFP4_clusters
2195,CHEMBL1947045,7700.0,nM,COc1cccc(Nc2ccnc(Nc3cccc(OC)c3)n2)c1,5.113509274827518,322.142975816,2,6,3.9810000000000016,True,3,487
2196,CHEMBL462338,7700.0,nM,COc1nc(Nc2ccc(-c3nc4ccccc4s3)cc2)c2cc[nH]c2n1,5.113509274827518,373.09973110000004,2,6,4.986800000000002,True,3,380
2197,CHEMBL3628796,7710.0,nM,COc1cc2ncnc(Nc3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c2cc1OC,5.112945621949043,493.0749516,3,6,5.797100000000004,True,1,1
2198,CHEMBL1822061,7780.0,nM,COc1ccc(C2=NN(c3nc(-c4ccc(Cl)cc4)cs3)C(c3ccc(Cl)cc3)C2)cc1,5.1090204030103115,479.06258858800004,0,5,7.481200000000005,True,6,12
2199,CHEMBL3612574,7800.0,nM,CCOC(=O)CCCn1c(=O)oc2cc3ncnc(Nc4ccc(F)c(Cl)c4)c3cc21,5.107905397309519,444.100060956,1,8,4.417100000000003,True,0,92
2200,CHEMBL515598,7800.0,nM,c1ccc2sc(-c3ccc(Nc4ncnc5[nH]cnc45)cc3)nc2c1,5.107905397309519,344.084415384,2,6,4.373200000000002,True,2,124
2201,CHEMBL3742349,7880.0,nM,CCOC(=O)c1nn(-c2ccc(C)cc2)cc1C(=O)c1c(C)[nH]c(-c2ccccc2)c1-c1ccccc1,5.103473782510445,489.2052417240001,1,5,6.558940000000006,True,64,102
2202,CHEMBL2347973,7893.0,nM,COC(=O)[C@@H](Nc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12)c1ccccc1,5.102757897194635,435.158291532,1,6,5.8830000000000044,True,47,266
2203,CHEMBL3416616,7904.0,nM,Brc1cc2c(NCc3ccccn3)ncnc2s1,5.102153068420428,319.9731293880001,1,5,3.4609000000000005,True,45,122
2204,CHEMBL3805508,7920.0,nM,c1ccc(COc2cccc(C3CC(c4ccc5c(c4)OCCO5)=NN3c3ccccc3)c2)cc1,5.101274818410507,462.194342692,0,5,6.392500000000006,True,113,150
2205,CHEMBL1958211,7960.0,nM,COc1ccc(C2CC(c3ccc(Br)cc3)=NN2C2=NC(=O)CS2)cc1,5.099086932262331,429.014659852,0,5,4.2382000000000035,True,6,4
2206,CHEMBL3221541,8000.0,nM,CCOC(=O)Nc1ccc(Nc2ncnc3cc(OCCN4CCOCC4)c(OC)cc23)cc1C.Cl,5.096910013008056,517.2091968039999,2,9,4.391620000000005,True,0,137
2207,CHEMBL1242753,8010.0,nM,CCOc1cc(-c2nn(CCO)c3ncnc(N)c23)ccc1OC,5.096367483915762,329.148789468,2,8,1.4750999999999999,True,0,342
2208,CHEMBL377277,8068.0,nM,COc1cc(OC(C)C)c2c(Nc3ccc(F)c(Cl)c3)ncnc2c1,5.093234110459272,361.09933268400005,1,5,4.961700000000003,True,1,94
2209,CHEMBL3325476,8100.0,nM,COC(=O)C1=C(N)N(c2cccnc2)C2=C(C(=O)CCC2)C1c1cc2cc(Cl)ccc2n2nnnc12,5.0915149811213505,501.1316151800001,1,10,3.280100000000002,True,23,50
2210,CHEMBL1958025,8140.0,nM,O=C1CSC(N2N=C(c3ccc(F)cc3)CC2c2ccccc2)=N1,5.089375595110798,339.084161288,0,4,3.606200000000002,True,6,4
2211,CHEMBL1958033,8160.0,nM,O=C1CSC(N2N=C(c3ccc(Cl)cc3)CC2c2ccc(Cl)cc2)=N1,5.088309841246139,389.01563839600004,0,4,4.773900000000004,True,6,4
2212,CHEMBL337297,8180.0,nM,CO[C@H]1[C@@H](N(C)C(=O)c2cnccn2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,5.087246696328677,572.217203376,1,8,4.696800000000004,True,7,41
2213,CHEMBL401644,8270.0,nM,COc1ccc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2c1,5.082494490447453,315.137162164,1,4,4.0830800000000025,True,79,183
2214,CHEMBL1828866,8280.0,nM,Cc1ccc(S(=O)(=O)NC(=O)Cc2ccc(F)cc2)cc1,5.08196966321512,307.06784252799997,1,3,2.1817200000000003,True,17,27
2215,CHEMBL353823,8300.0,nM,CC(C)(C)OC(=O)N1CCC(n2cc(-c3ccccc3)c3c(N)ncnc32)C1,5.080921907623926,379.2008250400001,1,6,3.862400000000002,True,68,379
2216,CHEMBL1241492,8300.0,nM,CC(C)n1nc(-c2ccc3nonc3c2)c2c(N)ncnc21,5.080921907623926,295.118158036,1,8,2.1925999999999997,True,10,3
2217,CHEMBL4079829,8300.0,nM,Nc1nc(N)c2c(n1)[nH]c1cccc(Sc3ccc(Cl)cc3)c12,5.080921907623926,341.050194064,3,5,4.080100000000001,True,2,80
2218,CHEMBL1958029,8360.0,nM,Cc1ccc(C2CC(c3ccc(F)cc3)=NN2C2=NC(=O)CS2)cc1,5.077793722560983,353.09981135199996,0,4,3.914620000000003,True,6,4
2219,CHEMBL363130,8400.0,nM,Cc1ccsc1C(=O)n1nc(Nc2ccc(S(N)(=O)=O)cc2)nc1N,5.075720713938118,378.056880308,3,9,1.3097199999999998,True,11,486
2220,CHEMBL2029694,8400.0,nM,CCOc1ccc(-c2cc(C(F)(F)F)c(C#N)c(SCC(=O)NCC(=O)O)n2)cc1,5.075720713938118,439.081361652,2,6,3.330680000000001,True,203,485
2221,CHEMBL3221546,8500.0,nM,CCOC(=O)Nc1ccc(Nc2ncnc3cc(OCCN4CCOCC4)c(OC)cc23)cc1Cl.Cl,5.070581074285707,537.1545743879999,2,9,4.736600000000005,True,0,137
2222,CHEMBL1958036,8580.0,nM,COc1ccc(C2CC(c3ccc(Cl)cc3)=NN2C2=NC(=O)CS2)cc1,5.066512712151295,385.06517543200005,0,5,4.129100000000004,True,6,4
2223,CHEMBL3604938,8600.0,nM,CCC(=O)Nc1cccc(Oc2nc(Nc3n[nH]c4ccccc34)cc(N3CCN(C)CC3)n2)c1,5.0655015487564325,472.2335221360001,3,8,3.989100000000003,True,5,204
2224,CHEMBL1242657,8700.0,nM,Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2[C@H]1CCNC1,5.060480747381382,314.12913732000004,3,7,1.4545999999999994,True,12,11
2225,CHEMBL120185,8700.0,nM,CN1CCN(c2ccc3c(n2)nc(-c2ccc(F)cc2)n3-c2ccnc(NC3CCCC3)n2)CC1,5.060480747381382,472.2499211480001,1,8,4.122900000000003,True,18,484
2226,CHEMBL541988,8719.0,nM,COc1cc2ncc(C(=O)O)c(Nc3cccc(Br)c3)c2cc1OC,5.059533322336471,402.02151906,2,5,4.456300000000002,True,1,255
2227,CHEMBL4460897,8770.0,nM,Cc1ccc(-n2cc(NC(=O)c3cccc(NS(=O)(=O)c4ccc(Cl)cc4)c3)cn2)cc1,5.05700040663396,466.086639148,2,5,4.887220000000004,True,11,34
2228,CHEMBL538757,8800.0,nM,COC(=O)c1ccccc1SCC(CN(C)C)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,5.055517327849832,499.15840711999994,0,6,5.6268000000000065,True,101,203
2229,CHEMBL1958223,8890.0,nM,COc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccc(OC)cc3)C2)cc1,5.051098239029786,381.114712468,0,6,3.484300000000003,True,6,4
2230,CHEMBL1241771,8900.0,nM,CC(C)n1nc(-c2ccc(C#N)c(F)c2)c2c(N)ncnc21,5.050609993355087,296.118572636,1,6,2.66718,True,4,3
2231,CHEMBL379041,8900.0,nM,Fc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,5.050609993355087,322.12298932000004,2,5,3.9456000000000016,True,19,240
2232,CHEMBL488646,9000.0,nM,COc1cc(C2=C(c3cn(COC(C)(C)C)c4ccccc34)CNC2=O)cc(OC)c1OC,5.045757490560675,450.21547205999997,1,6,4.480300000000003,True,102,282
2233,CHEMBL128027,9000.0,nM,CCOc1cc2nc(C)nc(Nc3cccc(-c4csc(C)n4)c3)c2cc1OCC,5.045757490560675,420.16199700799996,1,7,5.911140000000005,True,3,254
2234,CHEMBL1947122,9021.0,nM,COc1cc2ncc(C(=O)O)c(Nc3cccc(Cl)c3)c2cc1OC,5.04474531717982,358.07203463999997,2,5,4.347200000000003,True,1,255
2235,CHEMBL3805893,9040.0,nM,c1ccc(COc2ccc(C3CC(c4ccc5c(c4)OCCO5)=NN3c3ccccc3)cc2)cc1,5.043831569524636,462.194342692,0,5,6.392500000000006,True,113,150
2236,CHEMBL2018773,9100.0,nM,CCN(CC)CCOc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC,5.040958607678906,462.106666328,1,6,5.004200000000004,True,0,64
2237,CHEMBL1095464,9100.0,nM,Cc1ccccc1Cc1cc2c(Nc3cccc(Br)c3)nc(N)nc2[nH]1,5.040958607678906,407.0745576760001,3,4,4.945420000000003,True,2,26
2238,CHEMBL1240544,9140.0,nM,C[C@@H](CN)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21,5.039053804266168,318.09958678000004,3,7,1.9542,True,12,117
2239,CHEMBL3740247,9190.0,nM,CC(=O)c1nn(-c2ccc(C)cc2)cc1C(=O)c1c(C)[nH]c(-c2ccccc2)c1-c1ccccc1,5.036684488613889,459.19467704000004,1,4,6.584840000000006,True,64,102
2240,CHEMBL1947123,9284.0,nM,COc1cc2ncc(C(=O)O)c(Nc3ccc(F)c(Cl)c3)c2cc1OC,5.03226486821612,376.06261282799994,2,5,4.486300000000003,True,1,152
2241,CHEMBL126483,9300.0,nM,CCOc1cc2nc(CC)nc(Nc3cccc(-c4csc(C)n4)c3)c2cc1OCC,5.031517051446065,434.17764707199996,1,7,6.165120000000005,True,13,254
