,molecule_chembl_id,IC50,units,smiles,pIC50,passed
4973,CHEMBL166765,600.0,nM,Nc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCC1,6.221848749616356,True
4974,CHEMBL442749,600.0,nM,c1nc(Nc2ccc3[nH]ccc3c2)c2sccc2n1,6.221848749616356,True
4975,CHEMBL555797,600.0,nM,COc1cc2ncnc(Nc3ccc4c(c3)CCC4)c2cc1OC.Cl,6.221848749616356,True
4977,CHEMBL53552,603.0,nM,c1ccc(CNc2ncnc3cccnc23)cc1,6.219682687859849,True
4979,CHEMBL5288957,609.0,nM,COc1cc2c(Nc3ccc(-c4ccccc4)cc3)ncnc2cc1OCC1CCN(C)CC1,6.215382707367125,True
4980,CHEMBL1233882,610.0,nM,CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21,6.214670164989233,True
4981,CHEMBL57323,610.0,nM,Cc1cccc(C)c1-c1cc2cnc(N)nc2nc1NC(=O)NC(C)(C)C,6.214670164989233,True
4983,CHEMBL194349,610.0,nM,CCOC(=O)c1cn2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2c1CC,6.214670164989233,True
4986,CHEMBL290106,614.0,nM,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,6.211831628858833,True
4988,CHEMBL4462528,617.0,nM,COc1cc(NC(=O)C2CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NC(C)=O)n1,6.209714835966758,True
4989,CHEMBL4793639,617.33,nM,COc1ccc(C2N=C(C(N)=O)c3ncn(-c4ccc(F)cc4)c3N2)cc1OC,6.20948261738268,True
5000,CHEMBL3416593,629.0,nM,COc1ccccc1-c1cc2c(N[C@@H](CO)c3ccccc3)ncnc2s1,6.201349354554731,True
5001,CHEMBL2070197,630.0,nM,Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCO5)cc23)c1,6.200659450546418,True
5005,CHEMBL2179124,631.0,nM,Fc1ccc(-c2nc(-c3ccccc3)[nH]c2-c2ccnc3[nH]ccc23)cc1,6.199970640755866,True
5007,CHEMBL3092306,635.0,nM,CN(C)CCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,6.197226274708024,True
5008,CHEMBL3237929,638.0,nM,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)CCN(C)C)c2)n1,6.195179321278838,True
5012,CHEMBL246492,640.0,nM,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6COCCN6)c45)ccc32)c1,6.1938200260161125,True
5013,CHEMBL1683956,640.0,nM,CCc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C,6.1938200260161125,True
