,molecule_chembl_id,IC50,units,smiles,pIC50
4991,CHEMBL438805,950.0,nM,CCCc1c(C(=O)OCC)cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12,6.022276394711152
4992,CHEMBL3397276,950.0,nM,Clc1cc(Nc2ncnc3ccc(NC4=NC[C@@H](COc5ccccc5)O4)cc23)ccc1OCc1nccs1,6.022276394711152
4993,CHEMBL1645464,950.0,nM,Cn1ncc2cc(Nc3ncnn4ccc(CN5CCC(N)CC5)c34)ccc21,6.022276394711152
4994,CHEMBL196548,950.0,nM,CCOCc1cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2c1CC,6.022276394711152
4995,CHEMBL4293326,951.0,nM,Cc1oc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1C(=O)O,6.021819483062586
4996,CHEMBL5290503,952.0,nM,COc1cc2c(Nc3ccc(Oc4ccccc4)cc3Br)ncnc2cc1OCC1CCN(C)CC1,6.021363051615525
4997,CHEMBL1230790,954.0,nM,CC(C)n1nc(-c2cccc(O)c2)c2c(N)ncnc21,6.020451625295905
4998,CHEMBL1242024,954.0,nM,Cc1cc(O)ccc1-c1nn(C(C)C)c2ncnc(N)c12,6.020451625295905
4999,CHEMBL1242384,955.0,nM,CC(C)n1nc(-c2ccc3c(ccn3C)c2)c2c(N)ncnc21,6.019996628416254
5000,CHEMBL3676392,956.0,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCOCCOC(=O)CC(=O)O,6.0195421077238995
5001,CHEMBL5208825,957.0,nM,COC(=O)CCc1nc2ccc(Br)cc2[nH]c1=O,6.019088062223156
5002,CHEMBL3651854,960.0,nM,Cc1cc(Nc2nc(Nc3ccccc3S(=O)(=O)C(C)C)c3c(C)[nH]nc3n2)c(OC(C)C)cc1C1CCN(C)CC1,6.017728766960431
5003,CHEMBL4071151,960.0,nM,C#Cc1nn([C@@H]2CCCN(C(=O)C=C)C2)c2ncnc(N)c12,6.017728766960431
5004,CHEMBL4861796,960.0,nM,COc1ccc(C(Nc2ccc(Br)cc2)n2c(=O)ccc3cc(O)ccc32)cc1,6.017728766960431
5005,CHEMBL592211,960.0,nM,O=C(Nc1ccccc1)N(Cc1ccc(O)cc1)Cc1cccc(Cl)c1O,6.017728766960431
5006,CHEMBL2408824,960.0,nM,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(CCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)cc2)n1,6.017728766960431
5007,CHEMBL2048791,960.0,nM,O=C1Cc2cc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)ccc2N1,6.017728766960431
5008,CHEMBL114593,960.0,nM,COCC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,6.017728766960431
5009,CHEMBL1241490,964.0,nM,CC(C)n1nc(-c2ccc3occc3c2)c2c(N)ncnc21,6.015922966097169
5010,CHEMBL436137,965.0,nM,Cc1cccc(C)c1-c1cc(C)c2nc(Nc3ccc(OCCN4CCCC4)cc3)nnc2c1,6.015472686656207
5011,CHEMBL3092319,967.0,nM,O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1)N1CC(F)C1,6.014573525916998
5012,CHEMBL1821874,970.0,nM,Cc1ccc(C2=NN(c3nc(-c4ccc(Cl)cc4)cs3)C(c3ccc(O)cc3)C2)cc1C,6.013228265733755
5013,CHEMBL225721,970.0,nM,COc1ccc(N(CCN/N=N/c2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)CC(C)Cl)cc1,6.013228265733755
5014,CHEMBL602328,970.0,nM,O=C1CSC(N/N=C/c2cc(F)ccc2O)=N1,6.013228265733755
5015,CHEMBL4226177,972.0,nM,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(C(=O)N4CCN(C)CC4)cc3OC)n2)c1,6.012333735073725
5016,CHEMBL289787,974.0,nM,COc1cccc2c(Nc3cccc(Br)c3)ncnc12,6.011441043121384
5017,CHEMBL4278031,974.0,nM,COc1cccc(Nc2cc(Nc3cccc(Cl)c3)ncn2)c1,6.011441043121384
5018,CHEMBL2178368,978.0,nM,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)[nH]c4n3)cc2)CC1,6.009661145212399
5019,CHEMBL1081849,980.0,nM,Cc1c(C(=O)NCCCN2CCN(C)CC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,6.008773924307505
5020,CHEMBL4084996,980.0,nM,Clc1ccc(-c2nnc(Cc3nc4ccc(Cl)cc4[nH]3)o2)cc1,6.008773924307505
5021,CHEMBL51485,980.0,nM,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=O)NCc4ccccc4)nc3n2)CC1,6.008773924307505
5022,CHEMBL589561,980.0,nM,Oc1c(Br)cccc1CN(Cc1ccc(F)cc1)C(=S)Nc1ccccc1,6.008773924307505
5023,CHEMBL5189379,980.0,nM,CN1CCN(C(C)(C)/C=C(\C#N)C(=O)N2CCC[C@@H](n3nc(-c4ccc(Oc5ccccc5)cc4F)c4c(N)ncnc43)C2)CC1,6.008773924307505
5024,CHEMBL4082724,980.83,nM,COc1cc2c(Oc3ccc(NC(=O)c4nc5ccccc5n(-c5ccc(F)cc5)c4=O)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,6.008406259143765
5025,CHEMBL3671579,987.0,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)CN1CCC1,6.005682847330363
5026,CHEMBL1257911,989.0,nM,Nc1ccc2c(c1)C(c1ccccc1Cl)=Nc1c[nH]nc1N2,6.004803708402821
5027,CHEMBL2064384,990.0,nM,O=c1oc2cc3ncnc(Nc4ccc(OCc5ccc(Cl)cc5)cc4)c3cc2n1CCCN1CCOCC1,6.00436480540245
5028,CHEMBL4789796,993.0,nM,S=C(NN=C(c1ccccc1)c1ccccc1)Nc1ccc2c(c1)OCO2,6.0030507515046185
5029,CHEMBL4445761,998.0,nM,CC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,6.000869458712629
5030,CHEMBL1242754,1000.0,nM,CC(C)n1nc(-c2cnc3ccccc3c2)c2c(N)ncnc21,6.0
5031,CHEMBL184682,1000.0,nM,COc1cc2ncnc(Nc3ccc(Cl)c(NC(=O)c4cccc(N(C)C)c4)c3)c2cc1OC,6.0
5032,CHEMBL336113,1000.0,nM,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,6.0
5033,CHEMBL3353409,1000.0,nM,C=CC(=O)Nc1cc(Nc2ncc(C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,6.0
5034,CHEMBL4101735,1000.0,nM,CN(C)C/C=C/C(=O)N1CCC[C@@H](n2nc(-c3cccc(C(F)(F)F)c3)c3c(N)ncnc32)C1,6.0
5035,CHEMBL2385977,1000.0,nM,CCOc1cc(N)c(C(=O)Nc2ccc(OCc3ccccn3)c(Cl)c2)cc1NC(=O)c1ccc(CN2CCN(C)CC2)cc1,6.0
5036,CHEMBL94275,1000.0,nM,O=[N+]([O-])c1ccc2c(Nc3cccc(Br)c3)ncnc2c1,6.0
5037,CHEMBL3910297,1000.0,nM,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(CNCC(=O)NO)cc3)cc12)c1ccccc1,6.0
5038,CHEMBL3975710,1000.0,nM,O=C(/C=C/c1ccc(OCCOc2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)cc1)NO,6.0
5039,CHEMBL383614,1000.0,nM,Brc1cccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)c1,6.0
5040,CHEMBL205676,1000.0,nM,Fc1ccc(Nc2ncnc3c2NCc2cc(Cl)ccc2O3)cc1Cl,6.0
5041,CHEMBL424853,1000.0,nM,Fc1ccc2c(c1)CNc1c(Nc3ccc(F)c(Cl)c3)ncnc1O2,6.0
5042,CHEMBL206347,1000.0,nM,COc1ccc2c(c1)Oc1ncnc(Nc3ccc(F)c(Cl)c3)c1NC2,6.0
5043,CHEMBL113863,1000.0,nM,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCCCC(=O)O)nc21,6.0
5044,CHEMBL205148,1000.0,nM,O=C(O)c1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2,6.0
5045,CHEMBL44,1000.0,nM,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,6.0
5046,CHEMBL62176,1000.0,nM,CN1C(=S)C(C(=O)Nc2ccccc2)c2ccccc21,6.0
5047,CHEMBL281990,1000.0,nM,COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCN(C)CC1,6.0
5048,CHEMBL2018753,1000.0,nM,CCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1Cl,6.0
5049,CHEMBL3221258,1000.0,nM,CCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1Cl.Cl,6.0
5050,CHEMBL76958,1000.0,nM,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,6.0
5051,CHEMBL231663,1000.0,nM,COC(=O)C1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,6.0
5052,CHEMBL3221560,1000.0,nM,CCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1Cl.Cl,6.0
5053,CHEMBL2018752,1000.0,nM,CCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1Cl,6.0
